data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
8608303,356,IND101805,101805,"18 October 2021",2021,1,Protests,"Peaceful protest","Protesters (India)","Farmers (India); BKU: Bharatiya Kisan Union",6,,,0,60,"South Asia",India,"Uttar Pradesh","Gautam Buddha Nagar","Gautam Buddha Nagar",Noida,28.5363,77.3807,1,"Hindustan Times; Times of India",National,"On 18 October 2021, around 500 farmers of BKU, staged a protest and blocked roads in Noida (Gautam Buddha Nagar district, UP), against the Yamuna Expressway Industrial Development authorities for not giving them adequate compensation after acquiring their land. [size=around 500]",0,1635273304,IND
8608304,356,IND101806,101806,"18 October 2021",2021,1,Protests,"Peaceful protest","Protesters (India)","Farmers (India); BKU: Bharatiya Kisan Union; SKM: United Farmers Front",6,,,0,60,"South Asia",India,"Uttar Pradesh",Ghaziabad,Modinagar,Modinagar,28.8388,77.5799,1,"United News of India; Times of India; Chandigarh Tribune",National,"On 18 October 2021, hundreds of farmers of BKU and SKM staged a protest and blocked trains in Modinagar (Ghaziabad district, UP), demanding police action against the BJP perpetrated violence in Lakhimpur Kheri during the farmers' protest over the farm laws. [size=hundreds]",0,1635273304,IND
8608306,356,IND101812,101812,"18 October 2021",2021,1,Protests,"Peaceful protest","Protesters (India)","Farmers (India); BKU: Bharatiya Kisan Union; SKM: United Farmers Front",6,,,0,60,"South Asia",India,"Uttar Pradesh",Meerut,Meerut,Meerut,28.98,77.7063,1,"Chandigarh Tribune; Hindustan Times",National,"On 18 October 2021, farmers of BKU and SKM staged a protest and blocked trains in Meerut (Meerut district, UP), demanding police action against the BJP perpetrated violence in Lakhimpur Kheri during the farmers' protest over the farm laws. [size=no report]",0,1635273304,IND
8608405,356,IND101804,101804,"18 October 2021",2021,1,Protests,"Peaceful protest","Protesters (India)","Farmers (India); BKU: Bharatiya Kisan Union; SKM: United Farmers Front",6,,,0,60,"South Asia",India,"Uttar Pradesh","Gautam Buddha Nagar","Gautam Buddha Nagar",Dankaur,28.3483,77.5531,1,"Chandigarh Tribune",National,"On 18 October 2021, farmers of BKU and SKM staged a protest and blocked trains in Dankaur (Gautam Buddha Nagar district, UP), demanding police action against the BJP perpetrated violence in Lakhimpur Kheri during the farmers' protest over the farm laws. [size=no report]",0,1635273305,IND
8608406,356,IND101754,101754,"18 October 2021",2021,1,Protests,"Peaceful protest","Protesters (India)","Farmers (India); BKU: Bharatiya Kisan Union; SKM: United Farmers Front",6,,,0,60,"South Asia",India,Punjab,Jalandhar,Jalandhar-II,Kartarpur,31.4426,75.4984,1,"Chandigarh Tribune",Subnational,"On 18 October 2021, farmers of BKU and SKM staged a protest and blocked trains in Kartarpur town (Jalandhar-II, Jalandhar district, Punjab), demanding police action against the BJP perpetrated violence in Lakhimpur Kheri during the farmers' protest over the farm laws. [size=no report]",0,1635273305,IND
8608407,356,IND101779,101779,"18 October 2021",2021,1,Protests,"Peaceful protest","Protesters (India)","Farmers (India); BKU: Bharatiya Kisan Union; SKM: United Farmers Front",6,,,0,60,"South Asia",India,Punjab,"Sri Muktsar Sahib",Gidderbaha,Gidderbaha,30.2048,74.6595,1,"Chandigarh Tribune",Subnational,"On 18 October 2021, farmers of BKU and SKM staged a protest and blocked trains in Gidderbaha (Sri Muktsar Sahib district, Punjab), demanding police action against the BJP perpetrated violence in Lakhimpur Kheri during the farmers' protest over the farm laws. [size=no report]",0,1635273305,IND
8608408,356,IND101764,101764,"18 October 2021",2021,1,Protests,"Peaceful protest","Protesters (India)","Farmers (India); BKU: Bharatiya Kisan Union; SKM: United Farmers Front",6,,,0,60,"South Asia",India,Punjab,Ludhiana,"Ludhiana East",Sahnewal,30.8448,75.9758,1,"Chandigarh Tribune",Subnational,"On 18 October 2021, farmers of BKU and SKM staged a protest and blocked trains in Sahnewal (Ludhiana East, Ludhiana district, Punjab), demanding police action against the BJP perpetrated violence in Lakhimpur Kheri during the farmers' protest over the farm laws. [size=no report]",0,1635273305,IND
8608409,356,IND101765,101765,"18 October 2021",2021,1,Protests,"Peaceful protest","Protesters (India)","Farmers (India); BKU: Bharatiya Kisan Union; SKM: United Farmers Front; AIKS: All India Kisan Sabha; Labour Group (India); Health Workers (India)",6,,,0,60,"South Asia",India,Punjab,Ludhiana,Payal,Doraha,30.7995,76.0235,1,"Chandigarh Tribune",Subnational,"On 18 October 2021, farmers of BKU, SKM, AIKS, and members of labour groups including Technical Services Union, Powercom Union, Government Pensioners Association, Pensioners Association Powercom, Technical Services Union, Anganwadi (health) Workers' Union, staged a protest and blocked trains in Doraha town (Payal, Ludhiana district, Punjab), demanding police action against the BJP perpetrated violence in Lakhimpur Kheri during the farmers' protest over the farm laws. [size=no report]",0,1635273305,IND
8608410,356,IND101781,101781,"18 October 2021",2021,1,Protests,"Peaceful protest","Protesters (India)","Farmers (India); BKU: Bharatiya Kisan Union; SKM: United Farmers Front",6,,,0,60,"South Asia",India,Punjab,"Sri Muktsar Sahib",Muktsar,Muktsar,30.4742,74.5166,1,"Chandigarh Tribune",Subnational,"On 18 October 2021, farmers of BKU and SKM staged a protest and blocked trains in Muktsar (Sri Muktsar Sahib district, Punjab), demanding police action against the BJP perpetrated violence in Lakhimpur Kheri during the farmers' protest over the farm laws. [size=no report]",0,1635273305,IND
8608412,356,IND101755,101755,"18 October 2021",2021,1,Protests,"Peaceful protest","Protesters (India)","Farmers (India); BKU: Bharatiya Kisan Union; SKM: United Farmers Front",6,,,0,60,"South Asia",India,Punjab,Jalandhar,Nakodar,Nakodar,31.1258,75.475,1,"Chandigarh Tribune",Subnational,"On 18 October 2021, farmers of BKU and SKM staged a protest and blocked trains in Nakodar town (Jalandhar district, Punjab), demanding police action against the BJP perpetrated violence in Lakhimpur Kheri during the farmers' protest over the farm laws. [size=no report]",0,1635273305,IND
8608414,356,IND101771,101771,"18 October 2021",2021,1,Protests,"Peaceful protest","Protesters (India)","Farmers (India); BKU: Bharatiya Kisan Union; SKM: United Farmers Front",6,,,0,60,"South Asia",India,Punjab,Patiala,Patiala,Patiala,30.3362,76.3922,1,"Chandigarh Tribune",Subnational,"On 18 October 2021, farmers of BKU and SKM staged a protest and blocked trains in Patiala (Patiala district, Punjab), demanding police action against the BJP perpetrated violence in Lakhimpur Kheri during the farmers' protest over the farm laws. [size=no report]",0,1635273305,IND
8608417,356,IND101715,101715,"18 October 2021",2021,1,Protests,"Peaceful protest","Protesters (India)","Farmers (India); BKU: Bharatiya Kisan Union; SKM: United Farmers Front",6,,,0,60,"South Asia",India,Haryana,Sonipat,Sonipat,Sonipat,28.9947,77.0193,2,"Chandigarh Tribune",Subnational,"On 18 October 2021, farmers of BKU and SKM staged protests and blocked trains across Sonipat district (Sonipat district, Haryana), demanding police action against the BJP perpetrated violence in Lakhimpur Kheri during the farmers' protest over the farm laws. [size=no report]",0,1635273305,IND
8608418,356,IND101756,101756,"18 October 2021",2021,1,Protests,"Peaceful protest","Protesters (India)","Farmers (India); BKU: Bharatiya Kisan Union; SKM: United Farmers Front",6,,,0,60,"South Asia",India,Punjab,Jalandhar,Phillaur,Phillaur,31.0188,75.7911,1,"Chandigarh Tribune",Subnational,"On 18 October 2021, farmers of BKU and SKM staged a protest and blocked trains in Phillaur town (Jalandhar district, Punjab), demanding police action against the BJP perpetrated violence in Lakhimpur Kheri during the farmers' protest over the farm laws. [size=no report]",0,1635273305,IND
8608420,356,IND101749,101749,"18 October 2021",2021,1,Protests,"Peaceful protest","Protesters (India)","Farmers (India); BKU: Bharatiya Kisan Union; SKM: United Farmers Front",6,,,0,60,"South Asia",India,Punjab,Jalandhar,Jalandhar-I,Dhanowali,31.3031,75.6389,1,"Chandigarh Tribune",Subnational,"On 18 October 2021, farmers of BKU and SKM staged a protest and blocked trains in Dhanowali town (Jalandhar-I, Jalandhar district, Punjab), demanding police action against the BJP perpetrated violence in Lakhimpur Kheri during the farmers' protest over the farm laws. [size=no report]",0,1635273305,IND
8608421,356,IND101757,101757,"18 October 2021",2021,1,Protests,"Peaceful protest","Protesters (India)","Farmers (India); BKU: Bharatiya Kisan Union; SKM: United Farmers Front; KMSC: Farm Labourer Struggle Committee",6,,,0,60,"South Asia",India,Punjab,Jalandhar,Shahkot,"Lohian Khas",31.1618,75.2097,1,"Chandigarh Tribune",Subnational,"On 18 October 2021, farmers of BKU, SKM and KMSC staged a protest and blocked trains in Lohian Khas town (Shahkot, Jalandhar district, Punjab), demanding police action against the BJP perpetrated violence in Lakhimpur Kheri during the farmers' protest over the farm laws. [size=no report]",0,1635273305,IND
8608422,356,IND101735,101735,"18 October 2021",2021,1,Protests,"Peaceful protest","Protesters (India)","Farmers (India); BKU: Bharatiya Kisan Union; SKM: United Farmers Front",6,,,0,60,"South Asia",India,Punjab,Amritsar,Amritsar-II,Amritsar,31.6344,74.8728,2,"Chandigarh Tribune",Subnational,"On 18 October 2021, farmers of BKU and SKM staged protests and blocked trains across Amritsar district (Amritsar-II, Amritsar district, Punjab), demanding police action against the BJP perpetrated violence in Lakhimpur Kheri during the farmers' protest over the farm laws. [size=no report]",0,1635273305,IND
8608423,356,IND101713,101713,"18 October 2021",2021,1,Protests,"Peaceful protest","Protesters (India)","Farmers (India); BKU: Bharatiya Kisan Union; SKM: United Farmers Front",6,,,0,60,"South Asia",India,Haryana,Kurukshetra,Thanesar,Kurukshetra,29.9657,76.837,1,"Chandigarh Tribune",Subnational,"On 18 October 2021, farmers of BKU and SKM staged a protest and blocked trains in Kurukshetra (Thanesar, Kurukshetra district, Haryana), demanding police action against the BJP perpetrated violence in Lakhimpur Kheri during the farmers' protest over the farm laws. [size=no report]",0,1635273305,IND
8608426,356,IND101784,101784,"18 October 2021",2021,1,Protests,"Peaceful protest","Protesters (India)","Farmers (India); BKU: Bharatiya Kisan Union; SKM: United Farmers Front",6,,,0,60,"South Asia",India,Punjab,"Tarn Taran","Tarn Taran","Tarn Taran",31.4519,74.9277,2,"Chandigarh Tribune",Subnational,"On 18 October 2021, farmers of BKU and SKM staged protests and blocked trains across Tarn Taran district (Punjab), demanding police action against the BJP perpetrated violence in Lakhimpur Kheri during the farmers' protest over the farm laws. [size=no report]",0,1635273305,IND
8608427,356,IND101741,101741,"18 October 2021",2021,1,Protests,"Peaceful protest","Protesters (India)","Farmers (India); BKU: Bharatiya Kisan Union; SKM: United Farmers Front",6,,,0,60,"South Asia",India,Punjab,Fazilka,Jalalabad,"Guru Har Sahai",30.7086,74.404,1,"Chandigarh Tribune",Subnational,"On 18 October 2021, farmers of BKU and SKM staged a protest and blocked trains in Guru Har Sahai (Jalalabad, Fazilka district, Punjab), demanding police action against the BJP perpetrated violence in Lakhimpur Kheri during the farmers' protest over the farm laws. [size=no report]",0,1635273305,IND
8608428,356,IND101785,101785,"18 October 2021",2021,1,Protests,"Peaceful protest","Protesters (India)","Farmers (India); BKU: Bharatiya Kisan Union; SKM: United Farmers Front; KMSC: Farm Labourer Struggle Committee",6,,,0,60,"South Asia",India,Punjab,"Tarn Taran","Tarn Taran","Tarn Taran",31.4519,74.9277,1,"Chandigarh Tribune",Subnational,"On 18 October 2021, farmers of BKU, SKM and KMSC, staged a protest and blocked trains in Tarn Taran city (Tarn Taran district, Punjab), demanding police action against the BJP perpetrated violence in Lakhimpur Kheri during the farmers' protest over the farm laws. [size=no report]",0,1635273305,IND
8608429,356,IND101782,101782,"18 October 2021",2021,1,Protests,"Peaceful protest","Protesters (India)","Farmers (India); BKU: Bharatiya Kisan Union; SKM: United Farmers Front",6,,,0,60,"South Asia",India,Punjab,"Tarn Taran",Patti,Patti,31.2809,74.8584,1,"Chandigarh Tribune",Subnational,"On 18 October 2021, farmers of BKU and SKM staged a protest and blocked trains in Patti town (Patti, Tarn Taran district, Punjab), demanding police action against the BJP perpetrated violence in Lakhimpur Kheri during the farmers' protest over the farm laws. [size=no report]",0,1635273305,IND
8608430,356,IND101742,101742,"18 October 2021",2021,1,Protests,"Peaceful protest","Protesters (India)","Farmers (India); BKU: Bharatiya Kisan Union; SKM: United Farmers Front",6,,,0,60,"South Asia",India,Punjab,Fazilka,Jalalabad,Jalalabad,30.5986,74.2541,1,"Chandigarh Tribune",Subnational,"On 18 October 2021, farmers of BKU and SKM staged a protest and blocked trains in Jalalabad (Fazilka district, Punjab), demanding police action against the BJP perpetrated violence in Lakhimpur Kheri during the farmers' protest over the farm laws. [size=no report]",0,1635273305,IND
8608431,356,IND101751,101751,"18 October 2021",2021,1,Protests,"Peaceful protest","Protesters (India)","Farmers (India); BKU: Bharatiya Kisan Union; SKM: United Farmers Front",6,,,0,60,"South Asia",India,Punjab,Jalandhar,Jalandhar-I,Jalandhar,31.3255,75.5791,1,"Chandigarh Tribune",Subnational,"On 18 October 2021, farmers of BKU and SKM staged a protest and blocked trains in Jalandhar city (Jalandhar-I, Jalandhar district, Punjab), demanding police action against the BJP perpetrated violence in Lakhimpur Kheri during the farmers' protest over the farm laws. [size=no report]",0,1635273305,IND
8608432,356,IND101772,101772,"18 October 2021",2021,1,Protests,"Peaceful protest","Protesters (India)","Farmers (India); BKU: Bharatiya Kisan Union; SKM: United Farmers Front",6,,,0,60,"South Asia",India,Punjab,Patiala,Rajpura,Rajpura,30.4785,76.5928,1,"Chandigarh Tribune",Subnational,"On 18 October 2021, farmers of BKU and SKM staged a protest and blocked trains in Rajpura (Patiala district, Punjab), demanding police action against the BJP perpetrated violence in Lakhimpur Kheri during the farmers' protest over the farm laws. [size=no report]",0,1635273305,IND
8608433,356,IND101707,101707,"18 October 2021",2021,1,Protests,"Peaceful protest","Protesters (India)","Farmers (India); BKU: Bharatiya Kisan Union; SKM: United Farmers Front",6,,,0,60,"South Asia",India,Haryana,"Charkhi Dadri",Dadri,"Charkhi Dadri",28.5916,76.2716,1,"Chandigarh Tribune",Subnational,"On 18 October 2021, farmers of BKU and SKM staged a protest and blocked trains in Charkhi Dadri (Charkhi Dadri district, Haryana), demanding police action against the BJP perpetrated violence in Lakhimpur Kheri during the farmers' protest over the farm laws. [size=no report]",0,1635273305,IND
8608434,356,IND101778,101778,"18 October 2021",2021,1,Protests,"Peaceful protest","Protesters (India)","Farmers (India); BKU: Bharatiya Kisan Union; SKM: United Farmers Front",6,,,0,60,"South Asia",India,Punjab,"SAS Nagar",Mohali,Mohali,30.6799,76.7221,1,"Chandigarh Tribune",Subnational,"On 18 October 2021, farmers of BKU and SKM staged a protest and blocked trains in Mohali (SAS Nagar district, Punjab), demanding police action against the BJP perpetrated violence in Lakhimpur Kheri during the farmers' protest over the farm laws. [size=no report]",0,1635273305,IND
8608439,356,IND101780,101780,"18 October 2021",2021,1,Protests,"Peaceful protest","Protesters (India)","Farmers (India); BKU: Bharatiya Kisan Union; SKM: United Farmers Front",6,,,0,60,"South Asia",India,Punjab,"Sri Muktsar Sahib",Malout,Malout,30.1859,74.496,1,"Chandigarh Tribune",Subnational,"On 18 October 2021, farmers of BKU and SKM staged a protest and blocked trains in Malout (Sri Muktsar Sahib district, Punjab), demanding police action against the BJP perpetrated violence in Lakhimpur Kheri during the farmers' protest over the farm laws. [size=no report]",0,1635273305,IND
8608441,356,IND101708,101708,"18 October 2021",2021,1,Protests,"Peaceful protest","Protesters (India)","Farmers (India); BKU: Bharatiya Kisan Union; SKM: United Farmers Front",6,,,0,60,"South Asia",India,Haryana,Hisar,Hisar,Hisar,29.1539,75.7229,1,"Chandigarh Tribune",Subnational,"On 18 October 2021, farmers of BKU and SKM staged a protest and blocked trains in Hisar (Hisar district, Haryana), demanding police action against the BJP perpetrated violence in Lakhimpur Kheri during the farmers' protest over the farm laws. [size=no report]",0,1635273305,IND
8608445,356,IND101752,101752,"18 October 2021",2021,1,Protests,"Peaceful protest","Protesters (India)","Farmers (India); BKU: Bharatiya Kisan Union; SKM: United Farmers Front",6,,,0,60,"South Asia",India,Punjab,Jalandhar,Jalandhar-I,Jalandhar,31.3255,75.5791,2,"Chandigarh Tribune",Subnational,"On 18 October 2021, farmers of BKU and SKM staged protests and blocked trains across Jalandhar district (Jalandhar-I, Jalandhar district, Punjab), demanding police action against the BJP perpetrated violence in Lakhimpur Kheri during the farmers' protest over the farm laws. [size=no report]",0,1635273305,IND
8608449,356,IND101758,101758,"18 October 2021",2021,1,Protests,"Peaceful protest","Protesters (India)","Farmers (India); BKU: Bharatiya Kisan Union; SKM: United Farmers Front",6,,,0,60,"South Asia",India,Punjab,Kapurthala,Phagwara,Phagwara,31.2245,75.7738,1,"Chandigarh Tribune",Subnational,"On 18 October 2021, farmers of BKU and SKM staged a protest and blocked trains in Phagwara town (Kapurthala district, Punjab), demanding police action against the BJP perpetrated violence in Lakhimpur Kheri during the farmers' protest over the farm laws. [size=no report]",0,1635273305,IND
8608450,356,IND101763,101763,"18 October 2021",2021,1,Protests,"Peaceful protest","Protesters (India)","Farmers (India); BKU: Bharatiya Kisan Union; SKM: United Farmers Front",6,,,0,60,"South Asia",India,Punjab,Ludhiana,"Ludhiana East",Ludhiana,30.912,75.8537,2,"Chandigarh Tribune",Subnational,"On 18 October 2021, farmers of BKU and SKM staged protests and blocked trains across Ludhiana district (Ludhiana East, Ludhiana district, Punjab), demanding police action against the BJP perpetrated violence in Lakhimpur Kheri during the farmers' protest over the farm laws. [size=no report]",0,1635273305,IND
8608452,356,IND101760,101760,"18 October 2021",2021,1,Protests,"Peaceful protest","Protesters (India)","Farmers (India); BKU: Bharatiya Kisan Union; SKM: United Farmers Front",6,,,0,60,"South Asia",India,Punjab,Ludhiana,Jagraon,Chaukiman,30.8172,75.5713,1,"Chandigarh Tribune",Subnational,"On 18 October 2021, farmers of BKU and SKM staged a protest and blocked trains in Chaukiman (Jagraon, Ludhiana district, Punjab), demanding police action against the BJP perpetrated violence in Lakhimpur Kheri during the farmers' protest over the farm laws. [size=no report]",0,1635273305,IND
8608453,356,IND101710,101710,"18 October 2021",2021,1,Protests,"Peaceful protest","Protesters (India)","Farmers (India); BKU: Bharatiya Kisan Union; SKM: United Farmers Front",6,,,0,60,"South Asia",India,Haryana,Jind,Jind,Jind,29.3157,76.315,1,"Chandigarh Tribune",Subnational,"On 18 October 2021, farmers of BKU and SKM staged a protest and blocked trains in Jind (Jind district, Haryana), demanding police action against the BJP perpetrated violence in Lakhimpur Kheri during the farmers' protest over the farm laws. [size=no report]",0,1635273305,IND
8608455,356,IND101767,101767,"18 October 2021",2021,1,Protests,"Peaceful protest","Protesters (India)","Farmers (India); BKU: Bharatiya Kisan Union; SKM: United Farmers Front",6,,,0,60,"South Asia",India,Punjab,Moga,Moga,Dagru,30.8315,75.0469,1,"Chandigarh Tribune",Subnational,"On 18 October 2021, farmers of BKU and SKM staged a protest and blocked trains in Dagru (Moga district, Punjab), demanding police action against the BJP perpetrated violence in Lakhimpur Kheri during the farmers' protest over the farm laws. [size=no report]",0,1635273305,IND
8608458,356,IND101766,101766,"18 October 2021",2021,1,Protests,"Peaceful protest","Protesters (India)","Farmers (India); BKU: Bharatiya Kisan Union; SKM: United Farmers Front",6,,,0,60,"South Asia",India,Punjab,Moga,Moga,Ajitwal,30.8156,75.3382,1,"Chandigarh Tribune",Subnational,"On 18 October 2021, farmers of BKU and SKM staged a protest and blocked trains in Ajitwal (Moga district, Punjab), demanding police action against the BJP perpetrated violence in Lakhimpur Kheri during the farmers' protest over the farm laws. [size=no report]",0,1635273305,IND
8608460,356,IND101706,101706,"18 October 2021",2021,1,Protests,"Peaceful protest","Protesters (India)","Farmers (India); BKU: Bharatiya Kisan Union; SKM: United Farmers Front",6,,,0,60,"South Asia",India,Haryana,Chandigarh,Chandigarh,Chandigarh,30.7362,76.7884,3,"Chandigarh Tribune",Subnational,"On 18 October 2021, farmers of BKU and SKM staged protests and blocked trains across 47 locations in Haryana, coded as Chandigarh demanding police action against the BJP perpetrated violence in Lakhimpur Kheri during the farmers' protest over the farm laws. [size=no report]",0,1635273305,IND
8608461,356,IND101774,101774,"18 October 2021",2021,1,Protests,"Peaceful protest","Protesters (India)","Farmers (India); BKU: Bharatiya Kisan Union; SKM: United Farmers Front",6,,,0,60,"South Asia",India,Punjab,Sangrur,Malerkotla,Ahmedgarh,30.6785,75.8272,1,"Chandigarh Tribune",Subnational,"On 18 October 2021, farmers of BKU and SKM staged a protest and blocked trains in Ahmedgarh town (Malerkotla, Sangrur district, Punjab), demanding police action against the BJP perpetrated violence in Lakhimpur Kheri during the farmers' protest over the farm laws. [size=no report]",0,1635273305,IND
8608462,356,IND101813,101813,"18 October 2021",2021,1,Protests,"Peaceful protest","Protesters (India)","Farmers (India); BKU: Bharatiya Kisan Union; SKM: United Farmers Front",6,,,0,60,"South Asia",India,"Uttar Pradesh",Muzaffarnagar,Muzaffarnagar,Muzaffarnagar,29.4709,77.7033,1,"Chandigarh Tribune",National,"On 18 October 2021, farmers of BKU and SKM staged a protest and blocked trains in Muzaffarnagar (Muzaffarnagar district, UP), demanding police action against the BJP perpetrated violence in Lakhimpur Kheri during the farmers' protest over the farm laws. [size=no report]",0,1635273305,IND
8608465,356,IND101759,101759,"18 October 2021",2021,1,Protests,"Peaceful protest","Protesters (India)","Farmers (India); BKU: Bharatiya Kisan Union; SKM: United Farmers Front",6,,,0,60,"South Asia",India,Punjab,Kapurthala,"Sultanpur Lodhi",Dadwindi,31.2496,75.2583,1,"Chandigarh Tribune",Subnational,"On 18 October 2021, farmers of BKU and SKM staged a protest and blocked trains in Dadwindi town (Sultanpur Lodhi, Kapurthala district, Punjab), demanding police action against the BJP perpetrated violence in Lakhimpur Kheri during the farmers' protest over the farm laws. [size=no report]",0,1635273305,IND
8608605,356,IND101807,101807,"18 October 2021",2021,1,Protests,"Peaceful protest","Protesters (India)","Farmers (India); BKU: Bharatiya Kisan Union; SKM: United Farmers Front",6,,,0,60,"South Asia",India,"Uttar Pradesh",Hapur,Hapur,Hapur,28.7299,77.7807,1,"Hindustan Times",National,"On 18 October 2021, farmers of BKU and SKM staged a protest and blocked trains in Hapur (Hapur district, UP), demanding police action against the BJP perpetrated violence in Lakhimpur Kheri during the farmers' protest over the farm laws. [size=no report]",0,1635273305,IND
